iter	Passed	Remaining
0	1	131
1	2	125
2	3	122
3	4	113
4	5	112
5	7	111
6	8	110
7	9	109
8	10	108
9	12	108
10	13	109
11	14	109
12	16	109
13	17	108
14	18	106
15	20	105
16	21	104
17	22	103
18	24	102
19	25	102
20	26	100
21	27	99
22	29	97
23	30	96
24	31	94
25	32	93
26	34	92
27	35	91
28	36	90
29	38	89
30	39	87
31	40	86
32	42	85
33	43	84
34	44	83
35	46	82
36	47	80
37	48	78
38	49	77
39	50	75
40	51	74
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	57	65
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	78	40
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
