iter	Passed	Remaining
0	146	146385
1	148	73864
2	150	49887
3	151	37704
4	152	30419
5	154	25589
6	155	22117
7	157	19495
8	158	17452
9	159	15817
10	161	14508
11	162	13397
12	164	12477
13	165	11670
14	166	10964
15	168	10359
16	170	9869
17	171	9376
18	173	8933
19	174	8541
20	175	8187
21	178	7929
22	179	7637
23	180	7360
24	182	7113
25	183	6886
26	185	6671
27	186	6472
28	187	6285
29	188	6109
30	190	5946
31	191	5793
32	192	5649
33	194	5516
34	195	5394
35	196	5272
36	198	5157
37	199	5046
38	200	4945
39	202	4850
40	203	4755
41	204	4668
42	205	4582
43	207	4502
44	208	4429
45	209	4353
46	211	4281
47	212	4213
48	213	4147
49	215	4094
50	216	4037
51	218	3977
52	219	3928
53	223	3906
54	225	3867
55	226	3818
56	227	3766
57	229	3722
58	230	3677
59	231	3631
60	232	3586
61	236	3581
62	239	3558
63	240	3520
64	242	3481
65	243	3447
66	244	3410
67	246	3374
68	247	3338
69	249	3308
70	250	3274
71	251	3244
72	253	3214
73	254	3183
74	255	3152
75	256	3122
76	258	3095
77	259	3065
78	260	3037
79	261	3009
80	262	2983
81	264	2964
82	265	2935
83	267	2913
84	268	2891
85	269	2868
86	271	2848
87	272	2827
88	274	2805
89	275	2782
90	276	2761
91	277	2739
92	279	2722
93	280	2704
94	281	2686
95	283	2668
96	284	2649
97	285	2630
98	287	2614
99	288	2596
100	289	2578
101	290	2560
102	291	2542
103	293	2527
104	294	2511
105	295	2495
106	297	2480
107	298	2464
108	299	2449
109	301	2436
110	302	2421
111	303	2406
112	304	2391
113	305	2377
114	307	2364
115	308	2351
116	310	2342
117	311	2329
118	313	2323
119	316	2320
120	317	2308
121	318	2293
122	319	2280
123	321	2269
124	322	2257
125	324	2248
126	325	2237
127	326	2226
128	328	2217
129	329	2206
130	330	2194
131	332	2184
132	333	2172
133	334	2160
134	335	2149
135	336	2138
136	337	2127
137	338	2117
138	340	2106
139	342	2102
140	343	2094
141	344	2083
142	345	2072
143	346	2062
144	348	2052
145	349	2042
146	350	2032
147	351	2022
148	352	2012
149	353	2003
150	354	1994
151	355	1985
152	357	1977
153	358	1968
154	359	1959
155	360	1951
156	361	1942
157	362	1933
158	363	1924
159	364	1916
160	365	1905
161	366	1898
162	368	1890
163	369	1883
164	370	1876
165	372	1869
166	373	1861
167	374	1853
168	375	1847
169	376	1840
170	378	1833
171	379	1825
172	380	1818
173	381	1810
174	382	1803
175	383	1796
176	385	1790
177	386	1785
178	387	1779
179	389	1772
180	390	1766
181	391	1759
182	392	1752
183	393	1745
184	394	1738
185	395	1731
186	396	1724
187	398	1719
188	399	1713
189	400	1708
190	401	1702
191	403	1696
192	404	1690
193	405	1684
194	406	1678
195	407	1671
196	408	1665
197	409	1659
198	410	1653
199	412	1648
200	413	1642
201	414	1637
202	415	1632
203	417	1627
204	418	1622
205	419	1616
206	420	1610
207	421	1605
208	422	1599
209	423	1594
210	424	1588
211	426	1584
212	427	1579
213	428	1574
214	429	1569
215	431	1565
216	432	1560
217	433	1555
218	434	1550
219	435	1545
220	437	1540
221	438	1535
222	439	1530
223	440	1525
224	441	1520
225	442	1515
226	443	1511
227	446	1511
228	447	1506
229	448	1502
230	449	1497
231	451	1493
232	452	1488
233	453	1483
234	454	1478
235	455	1474
236	456	1469
237	457	1465
238	458	1460
239	459	1456
240	461	1452
241	462	1448
242	463	1444
243	464	1439
244	465	1435
245	466	1430
246	467	1426
247	468	1421
248	469	1417
249	471	1413
250	472	1409
251	473	1406
252	474	1402
253	476	1398
254	477	1393
255	478	1389
256	479	1385
257	480	1381
258	481	1377
259	482	1373
260	483	1369
261	484	1365
262	485	1361
263	487	1358
264	488	1354
265	489	1351
266	490	1347
267	492	1344
268	493	1340
269	494	1336
270	495	1332
271	496	1329
272	497	1325
273	499	1322
274	500	1319
275	501	1315
276	502	1312
277	504	1310
278	506	1308
279	507	1305
280	509	1303
281	510	1299
282	511	1296
283	512	1292
284	513	1289
285	515	1285
286	516	1282
287	517	1279
288	518	1276
289	519	1273
290	521	1269
291	522	1267
292	523	1264
293	525	1260
294	526	1257
295	527	1254
296	528	1250
297	529	1247
298	530	1244
299	532	1241
300	533	1238
301	534	1235
302	535	1232
303	536	1229
304	538	1226
305	539	1222
306	540	1219
307	541	1216
308	542	1213
309	543	1210
310	544	1206
311	545	1203
312	547	1201
313	548	1198
314	549	1195
315	550	1191
316	551	1188
317	552	1185
318	553	1182
319	555	1179
320	556	1176
321	557	1173
322	558	1170
323	559	1166
324	560	1164
325	561	1161
326	562	1158
327	563	1155
328	564	1152
329	565	1149
330	567	1146
331	568	1143
332	569	1140
333	570	1137
334	571	1134
335	572	1131
336	573	1128
337	574	1125
338	576	1123
339	577	1120
340	578	1117
341	579	1115
342	580	1112
343	581	1109
344	583	1107
345	584	1104
346	585	1101
347	586	1098
348	587	1096
349	589	1094
350	590	1091
351	591	1089
352	592	1086
353	593	1083
354	595	1081
355	596	1078
356	597	1075
357	598	1073
358	599	1070
359	600	1068
360	602	1065
361	603	1063
362	604	1060
363	605	1058
364	606	1055
365	608	1053
366	609	1050
367	610	1048
368	611	1045
369	612	1042
370	613	1040
371	614	1038
372	616	1035
373	617	1033
374	618	1030
375	619	1027
376	620	1025
377	621	1022
378	622	1020
379	623	1017
380	625	1015
381	626	1012
382	627	1010
383	628	1007
384	629	1005
385	630	1002
386	631	1000
387	632	997
388	633	995
389	634	992
390	635	990
391	637	988
392	638	986
393	639	983
394	640	981
395	641	979
396	643	976
397	644	974
398	645	971
399	646	969
400	647	966
401	648	964
402	649	962
403	651	960
404	652	958
405	653	955
406	654	953
407	655	951
408	656	948
409	657	946
410	658	944
411	660	941
412	661	939
413	662	937
414	663	934
415	664	932
416	665	930
417	666	928
418	668	926
419	669	924
420	670	921
421	671	919
422	672	917
423	673	915
424	674	913
425	675	910
426	677	908
427	678	906
428	679	904
429	680	902
430	681	900
431	682	897
432	684	895
433	685	893
434	686	891
435	687	889
436	688	887
437	689	884
438	690	882
439	691	880
440	693	878
441	694	876
442	695	874
443	697	872
444	698	870
445	699	868
446	700	866
447	701	864
448	703	862
449	704	860
450	705	858
451	706	856
452	707	854
453	708	852
454	710	850
455	711	848
456	712	846
457	713	844
458	714	842
459	715	840
460	717	838
461	718	836
462	719	834
